method,lr,bs,ep,f1,energy
PSO,4.533598897978399e-05,16,3,0.8697243366964497,0.003137752071101714
PSO,1.591218104775732e-05,16,4,0.8554077501445922,0.004172468165654602
PSO,2.8031377712154224e-05,8,3,0.8697702747646849,0.004667558567485254
PSO,3.974134154781775e-06,16,4,0.8378904139198098,0.0041744586446146245
PSO,4.3284550506595246e-05,16,4,0.8575206996335674,0.004171802734941297
